MonsoonIntensity,PopulationScore,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,DrainageSystems,AgriculturalPractices,FloodProbability,FloodRisk
3,4,6,6,4,4,6,10,3,0.45,0
8,1,5,7,7,9,1,9,5,0.475,0
3,1,4,1,7,5,4,7,4,0.515,1
4,8,2,7,3,4,1,4,6,0.52,1
3,4,5,2,5,8,5,7,7,0.475,0
6,7,6,4,6,4,3,10,3,0.47,0
6,7,4,5,5,5,4,8,8,0.57,1
7,6,5,5,6,6,6,4,6,0.585,1
6,9,5,4,5,11,3,2,9,0.58,1
4,5,5,6,2,3,7,7,10,0.555,1
5,7,7,4,5,7,4,6,0,0.455,0
6,4,1,4,3,7,5,8,4,0.555,1
4,2,4,1,5,4,2,5,4,0.45,0
6,4,7,9,7,4,11,4,8,0.525,1
8,5,9,4,6,7,6,4,4,0.48,0
7,8,4,6,5,5,6,2,2,0.44,0
7,3,4,4,10,3,7,4,6,0.465,0
4,4,7,6,5,5,6,3,2,0.53,1
5,3,6,4,5,3,7,4,5,0.47,0
5,4,2,5,2,11,2,1,6,0.485,0
7,6,8,8,7,2,2,4,8,0.55,1
5,10,8,9,8,5,6,5,4,0.605,1
3,2,8,5,6,5,7,6,2,0.495,0
6,5,4,1,5,6,4,3,1,0.48,0
2,9,7,4,7,3,6,7,3,0.485,0
9,6,2,6,4,5,8,2,5,0.445,0
2,6,5,1,5,7,4,5,9,0.47,0
6,6,4,9,5,2,4,4,7,0.55,1
7,3,3,2,3,5,5,5,5,0.485,0
8,3,9,4,5,5,4,3,7,0.545,1
6,6,5,7,3,6,9,7,6,0.575,1
2,5,6,5,4,6,5,2,4,0.47,0
3,1,7,5,1,6,7,3,2,0.43,0
4,2,4,8,7,4,4,5,2,0.515,1
4,9,8,2,2,9,6,8,4,0.515,1
3,7,8,7,1,1,7,6,7,0.565,1
11,3,4,7,5,9,8,3,4,0.555,1
4,6,4,5,7,9,8,7,6,0.56,1
5,7,1,3,7,4,5,9,3,0.505,1
4,6,4,6,7,5,8,11,7,0.635,1
4,6,3,5,9,10,2,8,7,0.545,1
3,4,5,3,5,3,5,5,3,0.425,0
9,5,6,7,8,10,7,4,6,0.595,1
2,3,3,2,0,3,6,5,3,0.46,0
2,6,6,3,7,5,5,3,3,0.47,0
3,5,3,6,1,6,2,4,3,0.45,0
3,6,10,5,4,3,4,3,7,0.47,0
